년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시,,평균기온(℃),평균최고기온(℃),최저기온(℃)
2009,9,30,73372,69747,55410,14337,25.9,2009/09/30(15:00),,20.1,25.1,홍천
2009,9,29,73372,69374,55733,13641,24.5,2009/09/29(20:00),,20.4,25.1,11.2
2009,9,28,73372,69374,55590,13784,24.8,2009/09/28(20:00),,20.1,24.1,12
2009,9,27,73372,68378,47568,20810,43.7,2009/09/27(20:00),,19.6,22,13.5
2009,9,26,73372,68824,50805,18019,35.5,2009/09/26(15:00),,21.4,27.4,9.6
2009,9,25,73372,69003,55228,13775,24.9,2009/09/25(15:00),,20.1,24.4,6.3
2009,9,24,73372,68310,55939,12371,22.1,2009/09/24(20:00),,21,27.9,6.5
2009,9,23,73372,67839,55676,12163,21.8,2009/09/23(16:00),,20.7,26.9,6.8
2009,9,22,73372,68331,55412,12919,23.3,2009/09/22(20:00),,20,25.7,5.3
2009,9,21,73372,67827,55221,12606,22.8,2009/09/21(16:00),,19,21.6,12.5
2009,9,20,73372,66489,46946,19543,41.6,2009/09/20(20:00),,19.9,25.9,7.6
2009,9,19,73372,65822,50143,15679,31.3,2009/09/19(15:00),,20.1,26.2,8.6
2009,9,18,73372,68053,56575,11478,20.3,2009/09/18(15:00),,20.9,28.9,6.3
2009,9,17,73372,68053,55850,12203,21.8,2009/09/17(20:00),,20.3,27.1,4.7
2009,9,16,73372,67363,55970,11393,20.4,2009/09/16(15:00),,20.3,27.1,7.4
2009,9,15,73372,67611,55619,11992,21.6,2009/09/15(20:00),,20.3,26.8,9.9
2009,9,14,73372,67611,55318,12293,22.2,2009/09/14(20:00),,19.3,23.7,7.4
2009,9,13,73372,65799,47118,18681,39.6,2009/09/13(20:00),,20,26.9,6.7
2009,9,12,73372,66462,50159,16303,32.5,2009/09/12(12:00),,19.7,25.3,8.4
2009,9,11,73372,67882,56799,11083,19.5,2009/09/11(15:00),,20.4,25.2,8.9
2009,9,10,73372,68185,58242,9943,17.1,2009/09/10(15:00),,21.3,28.2,15
2009,9,9,73372,67750,59138,8612,14.6,2009/09/09(15:00),,22.1,28.1,10.2
2009,9,8,73372,66557,59386,7171,12.1,2009/09/08(15:00),,22.9,28.1,13
2009,9,7,73372,67097,60624,6473,10.7,2009/09/07(15:00),,23.8,28.4,20
2009,9,6,73372,66109,49616,16493,33.2,2009/09/06(20:00),,24.1,30.6,11.7
2009,9,5,73372,65528,53402,12126,22.7,2009/09/05(15:00),,23.5,29.4,19.1
2009,9,4,73372,67845,58476,9369,16,2009/09/04(15:00),,22.7,28.3,11.3
2009,9,3,73372,68106,58194,9912,17,2009/09/03(15:00),,21.6,27.9,8.8
2009,9,2,73372,68106,57800,10306,17.8,2009/09/02(15:00),,21.5,27.8,9.9
2009,9,1,73372,68213,57233,10980,19.2,2009/09/01(15:00),,21.4,27.6,15.6
2009,8,31,73372,70362,56461,13901,24.6,2009/08/31(15:00),,21.2,26.2,7.8
2009,8,30,73372,69216,46285,22931,49.5,2009/08/30(21:00),,20.6,23.3,8.8
2009,8,29,73372,69126,51791,17335,33.5,2009/08/29(12:00),,21.9,27,11.8
2009,8,28,73372,70764,61414,9350,15.2,2009/08/28(15:00),,25,30.8,13.6
2009,8,27,73372,70690,60444,10246,17,2009/08/27(15:00),,24.1,27.5,17.1
2009,8,26,73372,71070,60319,10751,17.8,2009/08/26(15:00),,24.2,29.2,12.9
2009,8,25,73372,71070,60971,10099,16.6,2009/08/25(15:00),,23.6,28.8,11.1
2009,8,24,73372,71070,61245,9825,16,2009/08/24(15:00),,23.5,29.5,8.9
2009,8,23,73372,70013,49661,20352,41,2009/08/23(21:00),,24.6,30.6,19.7
2009,8,22,73372,70295,53552,16743,31.3,2009/08/22(15:00),,24.7,30.8,14
2009,8,21,73372,72990,60753,12237,20.1,2009/08/21(15:00),,25.6,31.2,20.6
2009,8,20,73372,72990,62753,10237,16.3,2009/08/20(15:00),,26.6,30.3,18.2
2009,8,19,73372,72632,63212,9420,14.9,2009/08/19(15:00),,27.1,32,16.4
2009,8,18,73372,72367,62677,9690,15.5,2009/08/18(15:00),,26.2,30.6,17.8
2009,8,17,73372,72979,61411,11568,18.8,2009/08/17(15:00),,25.3,28.9,14.8
2009,8,16,73372,72002,50351,21651,43,2009/08/16(21:00),,25.4,30.4,11.7
2009,8,15,73372,72002,52995,19007,35.9,2009/08/15(15:00),,25.8,32.5,13.3
2009,8,14,73372,72990,60730,12260,20.2,2009/08/14(15:00),,25.7,31.3,16.3
2009,8,13,73372,72990,60699,12291,20.2,2009/08/13(15:00),,25.4,30.2,15.6
2009,8,12,73372,72990,58564,14426,24.6,2009/08/12(15:00),,25,27.5,18.5
2009,8,11,73372,72990,57619,15371,26.7,2009/08/11(15:00),,24.4,26.8,17.5
2009,8,10,73372,72990,60492,12498,20.7,2009/08/10(15:00),,25.6,29.2,16.8
2009,8,9,73372,72990,50348,22642,45,2009/08/09(21:00),,25.8,29.9,22.7
2009,8,8,73372,72990,52192,20798,39.8,2009/08/08(15:00),,25.4,29.6,17.3
2009,8,7,73372,72082,57052,15030,26.3,2009/08/07(15:00),,24.1,27.3,16.5
2009,8,6,73372,72082,57014,15068,26.4,2009/08/06(15:00),,23.8,27.4,15.2
2009,8,5,73372,72969,54900,18069,32.9,2009/08/05(15:00),,24.7,29.6,11.8
2009,8,4,73372,72969,52668,20301,38.5,2009/08/04(15:00),,23.9,29.3,12.2
2009,8,3,73372,72969,49338,23631,47.9,2009/08/03(15:00),,22.7,25.7,15.3
2009,8,2,73372,72969,46763,26206,56,2009/08/02(21:00),,24,28.6,15.6
